Identifiant,Code Postal,Présence,Adresse,Nom Officiel Commune / Arrondissement Municipal Majuscule,Automate 24-24,Mise à jour,Prix Gazole,Prix SP95,Prix SP98,Prix GPLc,Prix E10,Prix E85,Marque,Geo Point,Code officiel commune ou arrondissement
88100007,88100,R,18 Rue d'Épinal,SAINT-DIÉ-DES-VOSGES,Non,02.01.7146,1.597,,1.765,,1.655,,Total Energies,,
88100005,88100,R,116 Rue d'Alsace,SAINT-DIÉ-DES-VOSGES,Non,12.04.7146,1.509,,1.649,,1.569,0.679,Intermarché,"48.2781482523, 6.96070519556",88413
88100005,88100,R,116 Rue d'Alsace,SAINT-DIÉ-DES-VOSGES,Non,12.04.7146,1.509,,1.659,,1.579,0.679,Intermarché,"48.2781482523, 6.96070519556",88413
88100004,88100,R,5 Rue Marcel Mauss,SAINT-DIÉ-DES-VOSGES,Non,12.04.7146,1.525,1.625,1.655,0.839,,,Leclerc,"48.29321, 6.93455",88413
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,12.04.7146,1.589,,1.769,,1.669,,Eni France,,
88100007,88100,R,18 Rue d'Épinal,SAINT-DIÉ-DES-VOSGES,Non,12.04.7146,1.609,,1.775,,1.665,,Total Energies,,
88100005,88100,R,116 Rue d'Alsace,SAINT-DIÉ-DES-VOSGES,Non,21.07.7146,1.529,,1.659,,1.579,0.679,Intermarché,"48.2781482523, 6.96070519556",88413
88100005,88100,R,116 Rue d'Alsace,SAINT-DIÉ-DES-VOSGES,Non,21.07.7146,1.529,,1.669,,1.589,0.679,Intermarché,"48.2781482523, 6.96070519556",88413
88100006,88100,R,183 Rue Ernest Charlier,SAINTE-MARGUERITE,Non,21.07.7146,1.53,1.535,1.655,0.839,1.59,0.679,CORA,"48.2718645613, 6.96963902125",88424
88100006,88100,R,183 Rue Ernest Charlier,SAINTE-MARGUERITE,Non,21.07.7146,1.53,1.535,1.673,0.839,1.59,0.679,CORA,"48.2718645613, 6.96963902125",88424
88100004,88100,R,5 Rue Marcel Mauss,SAINT-DIÉ-DES-VOSGES,Non,21.07.7146,1.535,1.625,1.655,0.839,,,Leclerc,"48.29321, 6.93455",88413
88100004,88100,R,5 Rue Marcel Mauss,SAINT-DIÉ-DES-VOSGES,Non,21.07.7146,1.535,1.635,1.669,0.839,,,Leclerc,"48.29321, 6.93455",88413
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,21.07.7146,1.589,,1.769,,1.669,,Eni France,,
88100007,88100,R,18 Rue d'Épinal,SAINT-DIÉ-DES-VOSGES,Non,21.07.7146,1.622,,1.775,,1.665,,Total Energies,,
88100007,88100,R,18 Rue d'Épinal,SAINT-DIÉ-DES-VOSGES,Non,21.07.7146,1.622,,1.792,,1.682,,Total Energies,,
88100005,88100,R,116 Rue d'Alsace,SAINT-DIÉ-DES-VOSGES,Non,29.10.7146,1.529,,1.669,,1.589,0.679,Intermarché,"48.2781482523, 6.96070519556",88413
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,29.10.7146,1.599,,1.769,,1.669,,Eni France,,
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,06.02.7147,1.619,,1.779,,1.679,,Eni France,,
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,17.05.7147,1.619,,1.779,,1.679,,Eni France,,
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,25.08.7147,1.619,,1.779,,1.679,,Eni France,,
88100007,88100,R,18 Rue d'Épinal,SAINT-DIÉ-DES-VOSGES,Non,25.08.7147,1.627,,1.792,,1.682,,Total Energies,,
88100007,88100,R,18 Rue d'Épinal,SAINT-DIÉ-DES-VOSGES,Non,25.08.7147,1.627,,1.797,,1.687,,Total Energies,,
88100006,88100,R,183 Rue Ernest Charlier,SAINTE-MARGUERITE,Non,03.12.7147,1.549,1.535,1.673,0.839,1.59,0.679,CORA,"48.2718645613, 6.96963902125",88424
88100006,88100,R,183 Rue Ernest Charlier,SAINTE-MARGUERITE,Non,03.12.7147,1.549,1.535,1.703,0.839,1.618,0.679,CORA,"48.2718645613, 6.96963902125",88424
88100005,88100,R,116 Rue d'Alsace,SAINT-DIÉ-DES-VOSGES,Non,03.12.7147,1.549,,1.669,,1.619,0.679,Intermarché,"48.2781482523, 6.96070519556",88413
88100005,88100,R,116 Rue d'Alsace,SAINT-DIÉ-DES-VOSGES,Non,03.12.7147,1.549,,1.699,,1.619,0.679,Intermarché,"48.2781482523, 6.96070519556",88413
88100007,88100,R,18 Rue d'Épinal,SAINT-DIÉ-DES-VOSGES,Non,03.12.7147,1.637,,1.797,,1.698,,Total Energies,,
88100007,88100,R,18 Rue d'Épinal,SAINT-DIÉ-DES-VOSGES,Non,03.12.7147,1.637,,1.808,,1.698,,Total Energies,,
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,03.12.7147,1.639,,1.799,,1.699,,Eni France,,
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,12.03.7148,1.639,,1.809,,1.709,,Eni France,,
88100007,88100,R,18 Rue d'Épinal,SAINT-DIÉ-DES-VOSGES,Non,12.03.7148,1.642,,1.808,,1.698,,Total Energies,,
88100007,88100,R,18 Rue d'Épinal,SAINT-DIÉ-DES-VOSGES,Non,12.03.7148,1.642,,1.813,,1.703,,Total Energies,,
88100004,88100,R,5 Rue Marcel Mauss,SAINT-DIÉ-DES-VOSGES,Non,20.06.7148,1.555,1.675,1.699,0.839,,,Leclerc,"48.29321, 6.93455",88413
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,20.06.7148,1.639,,1.809,,1.709,,Eni France,,
88100007,88100,R,18 Rue d'Épinal,SAINT-DIÉ-DES-VOSGES,Non,20.06.7148,1.647,,1.813,,1.703,,Total Energies,,
88100007,88100,R,18 Rue d'Épinal,SAINT-DIÉ-DES-VOSGES,Non,20.06.7148,1.647,,1.819,,1.709,,Total Energies,,
88100006,88100,R,183 Rue Ernest Charlier,SAINTE-MARGUERITE,Non,28.09.7148,1.553,1.535,1.703,0.839,1.62,0.679,CORA,"48.2718645613, 6.96963902125",88424
88100006,88100,R,183 Rue Ernest Charlier,SAINTE-MARGUERITE,Non,28.09.7148,1.553,1.535,1.709,0.839,1.62,0.679,CORA,"48.2718645613, 6.96963902125",88424
88100004,88100,R,5 Rue Marcel Mauss,SAINT-DIÉ-DES-VOSGES,Non,28.09.7148,1.555,1.695,1.699,0.839,,,Leclerc,"48.29321, 6.93455",88413
88100004,88100,R,5 Rue Marcel Mauss,SAINT-DIÉ-DES-VOSGES,Non,28.09.7148,1.555,1.695,1.715,0.839,,,Leclerc,"48.29321, 6.93455",88413
88100005,88100,R,116 Rue d'Alsace,SAINT-DIÉ-DES-VOSGES,Non,28.09.7148,1.555,,1.699,,1.619,0.679,Intermarché,"48.2781482523, 6.96070519556",88413
88100005,88100,R,116 Rue d'Alsace,SAINT-DIÉ-DES-VOSGES,Non,28.09.7148,1.555,,1.709,,1.619,0.679,Intermarché,"48.2781482523, 6.96070519556",88413
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,28.09.7148,1.639,,1.809,,1.709,,Eni France,,
88100007,88100,R,18 Rue d'Épinal,SAINT-DIÉ-DES-VOSGES,Non,28.09.7148,1.652,,1.819,,1.709,,Total Energies,,
88100007,88100,R,18 Rue d'Épinal,SAINT-DIÉ-DES-VOSGES,Non,28.09.7148,1.652,,1.824,,1.714,,Total Energies,,
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,06.01.7149,1.649,,1.809,,1.709,,Eni France,,
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,16.04.7149,1.649,,1.809,,1.709,,Eni France,,
88100004,88100,R,5 Rue Marcel Mauss,SAINT-DIÉ-DES-VOSGES,Non,25.07.7149,1.51,1.651,1.68,0.839,,,Leclerc,"48.29321, 6.93455",88413
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,25.07.7149,1.649,,1.809,,1.709,,Eni France,,
88100007,88100,R,18 Rue d'Épinal,SAINT-DIÉ-DES-VOSGES,Non,25.07.7149,1.658,,1.824,,1.714,,Total Energies,,
88100007,88100,R,18 Rue d'Épinal,SAINT-DIÉ-DES-VOSGES,Non,25.07.7149,1.658,,1.829,,1.719,,Total Energies,,
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,02.11.7149,1.649,,1.809,,1.709,,Eni France,,
88100007,88100,R,18 Rue d'Épinal,SAINT-DIÉ-DES-VOSGES,Non,02.11.7149,1.658,,1.829,,1.724,,Total Energies,,
88100007,88100,R,18 Rue d'Épinal,SAINT-DIÉ-DES-VOSGES,Non,02.11.7149,1.658,,1.834,,1.724,,Total Energies,,
88100006,88100,R,183 Rue Ernest Charlier,SAINTE-MARGUERITE,Non,10.02.7150,1.545,1.535,1.699,0.839,1.609,0.679,CORA,"48.2718645613, 6.96963902125",88424
88100006,88100,R,183 Rue Ernest Charlier,SAINTE-MARGUERITE,Non,10.02.7150,1.545,1.535,1.709,0.839,1.62,0.679,CORA,"48.2718645613, 6.96963902125",88424
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,10.02.7150,1.649,,1.809,,1.709,,Eni France,,
88100004,88100,R,5 Rue Marcel Mauss,SAINT-DIÉ-DES-VOSGES,Non,21.05.7150,1.527,1.651,1.68,0.839,,,Leclerc,"48.29321, 6.93455",88413
88100005,88100,R,116 Rue d'Alsace,SAINT-DIÉ-DES-VOSGES,Non,21.05.7150,1.549,,1.699,,1.609,0.679,Intermarché,"48.2781482523, 6.96070519556",88413
88100005,88100,R,116 Rue d'Alsace,SAINT-DIÉ-DES-VOSGES,Non,21.05.7150,1.549,,1.709,,1.609,0.679,Intermarché,"48.2781482523, 6.96070519556",88413
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,21.05.7150,1.649,,1.809,,1.709,,Eni France,,
88100004,88100,R,5 Rue Marcel Mauss,SAINT-DIÉ-DES-VOSGES,Non,29.08.7150,1.509,1.633,1.662,0.839,,,Leclerc,"48.29321, 6.93455",88413
88100004,88100,R,5 Rue Marcel Mauss,SAINT-DIÉ-DES-VOSGES,Non,29.08.7150,1.509,1.633,1.68,0.839,,,Leclerc,"48.29321, 6.93455",88413
88100004,88100,R,5 Rue Marcel Mauss,SAINT-DIÉ-DES-VOSGES,Non,29.08.7150,1.509,1.651,1.68,0.839,,,Leclerc,"48.29321, 6.93455",88413
88100005,88100,R,116 Rue d'Alsace,SAINT-DIÉ-DES-VOSGES,Non,29.08.7150,1.514,,1.626,,1.568,0.679,Intermarché,"48.2781482523, 6.96070519556",88413
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,29.08.7150,1.649,,1.809,,1.709,,Eni France,,
88100005,88100,R,116 Rue d'Alsace,SAINT-DIÉ-DES-VOSGES,Non,07.12.7150,1.545,,1.659,,1.599,0.679,Intermarché,"48.2781482523, 6.96070519556",88413
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,07.12.7150,1.649,,1.809,,1.709,,Eni France,,
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,17.03.7151,1.649,,1.809,,1.709,,Eni France,,
88100005,88100,R,116 Rue d'Alsace,SAINT-DIÉ-DES-VOSGES,Non,25.06.7151,1.545,,1.689,,1.609,0.679,Intermarché,"48.2781482523, 6.96070519556",88413
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,25.06.7151,1.649,,1.809,,1.709,,Eni France,,
88100004,88100,R,5 Rue Marcel Mauss,SAINT-DIÉ-DES-VOSGES,Non,03.10.7151,1.53,1.633,1.668,0.839,,,Leclerc,"48.29321, 6.93455",88413
88100004,88100,R,5 Rue Marcel Mauss,SAINT-DIÉ-DES-VOSGES,Non,03.10.7151,1.53,1.633,1.68,0.839,,,Leclerc,"48.29321, 6.93455",88413
88100004,88100,R,5 Rue Marcel Mauss,SAINT-DIÉ-DES-VOSGES,Non,03.10.7151,1.53,1.643,1.68,0.839,,,Leclerc,"48.29321, 6.93455",88413
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,03.10.7151,1.649,,1.809,,1.709,,Eni France,,
88100004,88100,R,5 Rue Marcel Mauss,SAINT-DIÉ-DES-VOSGES,Non,11.01.7152,1.544,1.633,1.668,0.839,,,Leclerc,"48.29321, 6.93455",88413
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,11.01.7152,1.659,,1.809,,1.709,,Eni France,,
88100004,88100,R,5 Rue Marcel Mauss,SAINT-DIÉ-DES-VOSGES,Non,20.04.7152,1.531,1.633,1.668,0.839,,,Leclerc,"48.29321, 6.93455",88413
88100004,88100,R,5 Rue Marcel Mauss,SAINT-DIÉ-DES-VOSGES,Non,20.04.7152,1.531,1.672,1.668,0.839,,,Leclerc,"48.29321, 6.93455",88413
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,20.04.7152,1.659,,1.809,,1.709,,Eni France,,
88100004,88100,R,5 Rue Marcel Mauss,SAINT-DIÉ-DES-VOSGES,Non,29.07.7152,1.512,1.645,1.668,0.839,,,Leclerc,"48.29321, 6.93455",88413
88100004,88100,R,5 Rue Marcel Mauss,SAINT-DIÉ-DES-VOSGES,Non,29.07.7152,1.512,1.645,1.675,0.839,,,Leclerc,"48.29321, 6.93455",88413
88100005,88100,R,116 Rue d'Alsace,SAINT-DIÉ-DES-VOSGES,Non,29.07.7152,1.527,,1.649,,1.59,0.679,Intermarché,"48.2781482523, 6.96070519556",88413
88100005,88100,R,116 Rue d'Alsace,SAINT-DIÉ-DES-VOSGES,Non,29.07.7152,1.527,,1.649,,1.59,0.679,Intermarché,"48.2781482523, 6.96070519556",88413
88100005,88100,R,116 Rue d'Alsace,SAINT-DIÉ-DES-VOSGES,Non,29.07.7152,1.527,,1.689,,1.59,0.679,Intermarché,"48.2781482523, 6.96070519556",88413
88100005,88100,R,116 Rue d'Alsace,SAINT-DIÉ-DES-VOSGES,Non,29.07.7152,1.527,,1.689,,1.609,0.679,Intermarché,"48.2781482523, 6.96070519556",88413
88100006,88100,R,183 Rue Ernest Charlier,SAINTE-MARGUERITE,Non,29.07.7152,1.555,1.535,1.699,0.839,1.623,0.679,CORA,"48.2718645613, 6.96963902125",88424
88100006,88100,R,183 Rue Ernest Charlier,SAINTE-MARGUERITE,Non,29.07.7152,1.555,1.535,1.717,0.839,1.623,0.679,CORA,"48.2718645613, 6.96963902125",88424
