Identifiant,Code Postal,Présence,Adresse,Nom Officiel Commune / Arrondissement Municipal Majuscule,Automate 24-24,Mise à jour,Prix Gazole,Prix SP95,Prix SP98,Prix GPLc,Prix E10,Prix E85,Marque,Geo Point,Code officiel commune ou arrondissement
88100006,88100,R,183 Rue Ernest Charlier,SAINTE-MARGUERITE,Non,25.04.7155,1.549,1.535,1.715,0.839,1.632,0.679,CORA,"48.2718645613, 6.96963902125",88424
88100005,88100,R,116 Rue d'Alsace,SAINT-DIÉ-DES-VOSGES,Non,25.04.7155,1.549,,1.729,,1.639,0.679,Intermarché,"48.2781482523, 6.96070519556",88413
88100005,88100,R,116 Rue d'Alsace,SAINT-DIÉ-DES-VOSGES,Non,25.04.7155,1.549,,1.729,,1.649,0.679,Intermarché,"48.2781482523, 6.96070519556",88413
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,25.04.7155,1.649,,1.809,,1.709,,Eni France,,
88100007,88100,R,18 Rue d'Épinal,SAINT-DIÉ-DES-VOSGES,Non,25.04.7155,1.659,,1.844,,1.729,,Total Energies,,
88100007,88100,R,18 Rue d'Épinal,SAINT-DIÉ-DES-VOSGES,Non,25.04.7155,1.659,,,,1.729,,Total Energies,,
88100004,88100,R,5 Rue Marcel Mauss,SAINT-DIÉ-DES-VOSGES,Non,03.08.7155,1.55,1.672,1.675,0.799,,,Leclerc,"48.29321, 6.93455",88413
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,03.08.7155,1.649,,1.809,,1.709,,Eni France,,
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,11.11.7155,1.649,,1.809,,1.709,,Eni France,,
88100007,88100,R,18 Rue d'Épinal,SAINT-DIÉ-DES-VOSGES,Non,11.11.7155,1.664,,1.839,,1.729,,Total Energies,,
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,19.02.7156,1.649,,1.809,,1.709,,Eni France,,
88100005,88100,R,116 Rue d'Alsace,SAINT-DIÉ-DES-VOSGES,Non,29.05.7156,1.53,,1.683,,1.602,0.679,Intermarché,"48.2781482523, 6.96070519556",88413
88100004,88100,R,5 Rue Marcel Mauss,SAINT-DIÉ-DES-VOSGES,Non,29.05.7156,1.538,1.657,1.675,0.799,,,Leclerc,"48.29321, 6.93455",88413
88100004,88100,R,5 Rue Marcel Mauss,SAINT-DIÉ-DES-VOSGES,Non,29.05.7156,1.554,1.672,1.675,0.799,,,Leclerc,"48.29321, 6.93455",88413
88100004,88100,R,5 Rue Marcel Mauss,SAINT-DIÉ-DES-VOSGES,Non,29.05.7156,1.554,1.675,1.675,0.799,,,Leclerc,"48.29321, 6.93455",88413
88100008,88100,R,4 AVENUE DE VERDUN,SAINT-DIE-DES-VOSGES,Oui,29.05.7156,1.649,,1.809,,1.709,,Eni France,,
88100007,88100,R,18 Rue d'Épinal,SAINT-DIÉ-DES-VOSGES,Non,29.05.7156,1.672,,1.839,,1.729,,Total Energies,,
88100007,88100,R,18 Rue d'Épinal,SAINT-DIÉ-DES-VOSGES,Non,29.05.7156,1.672,,1.839,,1.729,,Total Energies,,
88100005,88100,R,116 Rue d'Alsace,SAINT-DIÉ-DES-VOSGES,Non,06.09.7156,1.575,,1.729,,1.649,0.679,Intermarché,"48.2781482523, 6.96070519556",88413
